Item Name,Description,Category,Vendor,SKU,Internal Code,Unit of Measure,Pack Size,Cost per Unit,Reorder Threshold,Max Par Level,Lead Time (days),Product Image URL,Review Flag
"J-Brace, Small, Left",,Sale Items,DJ Ortho,11-0321-2-06060,SI K350,each,1,,0,1,7,,
"J-Brace, Small, Right",,Sale Items,DJ Ortho,11-0320-2-06060,SI K351,each,1,,0,1,7,,
"J-Brace, Medium, Left",,Sale Items,DJ Ortho,11-0321-3-06060,SI K352,each,1,,1,4,7,,
"J-Brace, Medium, Right",,Sale Items,DJ Ortho,11-0320-3-06060,SI K353,each,1,,1,3,7,,
"J-Brace, Large, Left",,Sale Items,DJ Ortho,11-0321-4-06060,SI K354,each,1,,1,2,7,,
"J-Brace, Large, Right",,Sale Items,DJ Ortho,11-0320-4-06060,SI K355,each,1,,0,2,7,,
"J-Brace, X-Large, Left",,Sale Items,DJ Ortho,11-0321-5-06060,SI K356,each,1,,0,1,7,,
"J-Brace, X-Large, Right",,Sale Items,McKesson,509562,SI K357,each,1,,0,1,7,,
"Knee Brace, 20""",,Sale Items,McKesson,410245,SI K400,each,1,,0,1,7,,
"Knee Brace, 26""",,Sale Items,McKesson,410265,SI K410,each,1,,0,1,7,,
"Knee Brace, Small, Wraparound",,Sale Items,McKesson,370145,SI K500,each,1,,0,1,7,,
"Knee Brace, Medium, Wraparound",,Sale Items,McKesson,370146,SI K501,each,1,,0,1,7,,
"Knee Brace, Large, Wraparound",,Sale Items,McKesson,370147,SI K502,each,1,,0,1,7,,
"Knee Brace, X-Large, Wraparound",,Sale Items,McKesson,370148,SI K503,each,1,,0,1,7,,
"Knee Brace, Xx-Large Wraparound",,Sale Items,McKesson,370150,SI K504,each,1,,0,1,7,,
"Knee Support, Neoprene Sleeve Medium",,Sale Items,McKesson,370129,SI K600,each,1,,2,4,7,,
"Knee Support, Neoprene Sleeve, Large",,Sale Items,McKesson,370130,SI K601,each,1,,0,2,7,,
"Knee Support, Neoprene Sleeve, X-Large",,Sale Items,McKesson,370131,SI K602,each,1,,1,3,7,,
